資産ID,企業コード,企業名,営業担当者,機器名,メーカー,型番,数量,資産種別,EOL,保守期限,納品日,設置場所,登録日時,更新日時
A-0129,C009,三河精機株式会社,加藤,ETERNUS AF250 S3,Fujitsu,ETAF250-129,1,ストレージ,2026-06-15,2026-12-15,2021-06-14,刈谷工場 DC,2025-09-09 09:17:00,2026-08-28 09:01:00
A-0130,C009,三河精機株式会社,加藤,ApeosPort C3070,FUJIFILM,APC3070-130,4,プリンター,2026-08-31,2027-02-28,2021-08-30,刈谷工場 事務棟,2025-09-10 09:17:00,2026-08-28 09:01:00
A-0131,C009,三河精機株式会社,加藤,MX-M7571,Sharp,MXM7571-131,2,プリンター,2028-06-30,2028-12-31,2023-06-19,刈谷工場 総務,2025-09-11 09:17:00,2026-08-28 09:01:00
A-0132,C009,三河精機株式会社,加藤,FortiGate 100F,Fortinet,FG100F-132,4,ネットワーク機器,2025-12-31,2026-06-30,2020-12-11,刈谷工場 NWラック,2025-09-12 09:17:00,2026-08-28 09:01:00
A-0133,C009,三河精機株式会社,加藤,Aruba CX 6200F,HPE,JL724A-133,10,ネットワーク機器,2028-11-30,2029-05-31,2023-11-06,刈谷工場 MDF,2025-09-13 09:17:00,2026-08-28 09:01:00
A-0134,C009,三河精機株式会社,加藤,ScanSnap iX1600,Ricoh,FIIX1600-134,8,スキャナー,2027-10-31,2027-10-31,2022-10-24,刈谷工場 品質保証部,2025-09-14 09:17:00,2026-08-28 09:01:00
A-0135,C009,三河精機株式会社,加藤,ThinkCentre M75q Gen 2,Lenovo,11JN-135,38,PC,2029-03-31,2029-09-30,2024-03-25,刈谷工場 事務棟,2025-09-15 09:17:00,2026-08-28 09:01:00
A-0136,C010,東北リテール株式会社,吉田,ProBook 450 G9,HPE,6A1B2PA-136,52,PC,2025-09-15,2026-03-15,2020-09-07,仙台本部,2025-10-01 10:00:00,2026-08-29 11:56:00
A-0137,C010,東北リテール株式会社,吉田,ThinkPad L14 Gen 2,Lenovo,20X1-137,64,PC,2026-02-15,2026-08-15,2021-02-08,仙台本部,2025-10-02 10:00:00,2026-08-29 11:56:00
A-0138,C010,東北リテール株式会社,吉田,Latitude 5530,Dell,LAT5530-138,46,PC,2026-09-30,2027-03-31,2021-09-29,郡山支店,2025-10-03 10:00:00,2026-08-29 11:56:00
A-0139,C010,東北リテール株式会社,吉田,Surface Go 3,Microsoft,8VA-139,30,PC,2026-12-31,2027-06-30,2021-12-14,盛岡支店,2025-10-04 10:00:00,2026-08-29 11:56:00
A-0140,C010,東北リテール株式会社,吉田,PowerEdge T440,Dell,PET440-140,3,サーバー,2026-08-31,2027-02-28,2021-08-23,仙台DC,2025-10-05 10:00:00,2026-08-29 11:56:00
A-0141,C010,東北リテール株式会社,吉田,ProLiant ML350 Gen10,HPE,P11051-141,3,サーバー,2027-04-30,2027-10-31,2022-04-11,仙台DC,2025-10-06 10:00:00,2026-08-29 11:56:00
A-0142,C010,東北リテール株式会社,吉田,PRIMERGY RX2530 M6,Fujitsu,RX2530M6-142,2,サーバー,2028-10-31,2029-04-30,2023-10-18,仙台DC,2025-10-07 10:00:00,2026-08-29 11:56:00
A-0143,C010,東北リテール株式会社,吉田,PowerStore 500T,Dell,PST500T-143,1,ストレージ,2029-01-31,2029-07-31,2024-01-22,仙台DC,2025-10-08 10:00:00,2026-08-29 11:56:00
A-0144,C010,東北リテール株式会社,吉田,NetApp FAS2750,NetApp,FAS2750-144,1,ストレージ,2026-04-30,2026-10-31,2021-04-26,仙台DC,2025-10-09 10:00:00,2026-08-29 11:56:00
A-0145,C010,東北リテール株式会社,吉田,Apeos C4570,FUJIFILM,APC4570-145,7,プリンター,2026-10-31,2027-04-30,2021-10-25,仙台本部 各階,2025-10-10 10:00:00,2026-08-29 11:56:00
A-0146,C010,東北リテール株式会社,吉田,imageRUNNER ADVANCE DX C5840F,Canon,C5840F-146,4,プリンター,2028-07-31,2029-01-31,2023-07-03,郡山支店,2025-10-11 10:00:00,2026-08-29 11:56:00
A-0147,C010,東北リテール株式会社,吉田,FortiGate 40F,Fortinet,FG40F-147,8,ネットワーク機器,2028-05-31,2028-11-30,2023-05-16,仙台本部 NWラック,2025-10-12 10:00:00,2026-08-29 11:56:00
A-0148,C010,東北リテール株式会社,吉田,Aruba CX 6100,HPE,JL675A-148,14,ネットワーク機器,2027-01-15,2027-07-15,2022-01-17,仙台本部 MDF,2025-10-13 10:00:00,2026-08-29 11:56:00
A-0149,C010,東北リテール株式会社,吉田,MX-C357F,Sharp,MXC357F-149,5,プリンター,2025-12-01,2026-06-01,2020-12-01,盛岡支店,2025-10-14 10:00:00,2026-08-29 11:56:00
A-0150,C010,東北リテール株式会社,吉田,ThinkCentre M70q Gen 2,Lenovo,11MY-150,70,PC,2028-01-31,2028-07-31,2023-01-18,仙台本部 店舗端末,2025-10-15 10:00:00,2026-08-29 11:56:00
